Module                  Size  Used by
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  6 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  8 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_nat,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
nvme                   61440  2
ucsi_acpi              12288  0
hid_multitouch         36864  0
typec_ucsi             69632  1 ucsi_acpi
nvme_core             233472  3 nvme
hid_generic            12288  0
r8169                 139264  0
typec                 118784  1 typec_ucsi
video                  77824  1 amdgpu
nvme_keyring           20480  1 nvme_core
i2c_hid_acpi           12288  0
realtek                49152  1
nvme_auth              28672  1 nvme_core
thunderbolt           540672  1 typec
i2c_hid                40960  1 i2c_hid_acpi
wmi                    28672  3 hp_wmi,video,wmi_bmof
hid                   262144  4 i2c_hid,hid_multitouch,snd_soc_sdca,hid_generic
